Condition,Target_obj,prenuclear_onset,referent_onset,adverb_onset
CG,bagel,640,1633,2104
CG,berries,640,1633,2107
CG,brownie,640,1633,2080
CG,cabbage,640,1633,2190
CG,garlic,640,1633,2156
CG,kiwi,640,1633,2127
CG,lemon,640,1633,2061
CG,melon,640,1633,2087
GG,bagel,640,1633,2298
GG,berries,640,1633,2304
GG,brownie,640,1633,2231
GG,cabbage,640,1633,2208
GG,garlic,640,1633,2297
GG,kiwi,640,1633,2231
GG,lemon,640,1633,2166
GG,melon,640,1633,2165
GC,bagel,628,1551,2249
GC,berries,628,1551,2258
GC,brownie,628,1551,2057
GC,cabbage,628,1551,2127
GC,garlic,628,1551,2122
GC,kiwi,628,1551,2118
GC,lemon,628,1551,2075
GC,melon,628,1551,2144